title,company_name,company_location,posted_duration,jd,salary
Executive Recruiter,Hunt & Hired,"Michigan, United States",15 hours ago,"Hunt & Hired is a leading executive search firm specializing in finding top-tier talent for our clients. As an Executive Recruiter, you will play a critical role in identifying, attracting, and securing exceptional candidates for executive-level positions across a wide range of industries.Our ideal candidate is an experienced and highly motivated professional with a proven track record in executive recruitment. You should possess outstanding interpersonal skills, a keen eye for talent, and the ability to build strong relationships with both clients and candidates. We are looking for a hunter who is motivated by money!ResponsibilitiesConduct extensive research to identify potential candidates for executive-level positionsUtilize various sourcing techniques, such as networking, online platforms, and industry events, to attract top talentScreen and interview candidates to assess their qualifications, experience, and fit for specific rolesBuild and maintain a strong network of executive-level professionalsCollaborate with clients to understand their hiring needs and provide strategic insights on market trends and talent availabilityPresent qualified candidates to clients and facilitate the interview and selection processNegotiate compensation packages and assist in the offer and onboarding process for successful candidatesStay updated on industry best practices, recruitment trends, and advancements in executive search technologyRequirementsBachelor's degree in Human Resources, Business Administration, or a related fieldMinimum of 5 years of experience in executive recruitment or a similar roleProven track record in identifying and attracting high-caliber executive-level candidatesExcellent verbal and written communication skillsStrong networking and relationship-building abilitiesProficiency in using various sourcing tools and platformsKnowledge of employment laws and regulationsAbility to handle confidential information in a professional mannerExceptional organizational and time management skillsResults-oriented mindset with a proven ability to meet or exceed recruitment targetsBenefitsNO CAP Commision PlanHealth Care Plan (Medical, Dental & Vision)Training & DevelopmentWork From Home",Not provided
Data Entry Assistant (100% Remote),AllStaff Staffing & Recruiting,"Texas, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Entry Level Data Entry Clerk - Part Time (100% Remote),AllStaff Staffing & Recruiting,"Florida, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Fully Remote Data Entry Clerk - No Experience,AllStaff Staffing & Recruiting,"Virginia, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Data Entry,Opinion Focus Panel,"Houston, TX",2 hours ago,"We are looking for a Remote Data Entry Clerk to join our team and help us maintain accurate and up-to-date information in our databases and systems.The ideal candidate will have excellent typing skills, an eye for detail, and the ability to work independently. This role is crucial to ensuring that our data is reliable and easily accessible to our team members and clients.Key ResponsibilitiesAccurately enter data into various databases and systems from source documents within time limitsReview data for deficiencies or errors, correct any incompatibilities, and check the outputVerify data by comparing it to source documentsUpdate existing data and retrieve data from the database as requestedPerform regular backups to ensure data preservationOrganize and maintain files and records for efficient data retrievalCollaborate with team members to address any discrepancies or issues with data entryMaintain confidentiality and security of sensitive informationRequirementsProven experience as a Data Entry Clerk or similar roleExcellent typing speed and accuracyStrong attention to detail and ability to spot errorsProficiency in using data entry software and Microsoft Office Suite (Word, Excel, etc.)Ability to work independently and meet deadlinesStrong organizational and time management skillsExcellent communication skills, both written and verbalHigh school diploma or equivalent; additional qualifications in data management or related fields are a plusPreferred QualificationsExperience with remote work and virtual collaboration toolsFamiliarity with data protection regulations and best practicesCompensationFlexible working hours and remote work environmentOpportunities for professional growth and developmentSupportive and collaborative team cultureAccess to the latest technology and tools to perform your job efficiently",$35.00/hr - $45.00/hr
Executive Recruiter,Hunt & Hired,"Chicago, IL",15 hours ago,"Hunt & Hired is a leading executive search firm specializing in finding top-tier talent for our clients. As an Executive Recruiter, you will play a critical role in identifying, attracting, and securing exceptional candidates for executive-level positions across a wide range of industries.Our ideal candidate is an experienced and highly motivated professional with a proven track record in executive recruitment. You should possess outstanding interpersonal skills, a keen eye for talent, and the ability to build strong relationships with both clients and candidates. We are looking for a hunter who is motivated by money!ResponsibilitiesConduct extensive research to identify potential candidates for executive-level positionsUtilize various sourcing techniques, such as networking, online platforms, and industry events, to attract top talentScreen and interview candidates to assess their qualifications, experience, and fit for specific rolesBuild and maintain a strong network of executive-level professionalsCollaborate with clients to understand their hiring needs and provide strategic insights on market trends and talent availabilityPresent qualified candidates to clients and facilitate the interview and selection processNegotiate compensation packages and assist in the offer and onboarding process for successful candidatesStay updated on industry best practices, recruitment trends, and advancements in executive search technologyRequirementsBachelor's degree in Human Resources, Business Administration, or a related fieldMinimum of 5 years of experience in executive recruitment or a similar roleProven track record in identifying and attracting high-caliber executive-level candidatesExcellent verbal and written communication skillsStrong networking and relationship-building abilitiesProficiency in using various sourcing tools and platformsKnowledge of employment laws and regulationsAbility to handle confidential information in a professional mannerExceptional organizational and time management skillsResults-oriented mindset with a proven ability to meet or exceed recruitment targetsBenefitsNO CAP Commision PlanHealth Care Plan (Medical, Dental & Vision)Training & DevelopmentWork From Home",Not provided
Data Entry Clerk Admin (Remote) Work From Home,AllStaff Staffing & Recruiting,"Virginia, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Senior Customer Success Manager,Chaiz,United States,15 hours ago,"About Chaiz:Hi 👋 we’re on a mission to change how vehicle service contracts (also known as car extended warranties) are being bought and experienced. Today you get hard-sold via sleazy call centers and at dealerships while overpaying and not knowing what you are actually buying. We’re changing this!The RoleAs a Senior Customer Success Manager at Chaiz, you will play a pivotal role in ensuring our customers have a seamless and positive experience. You will be responsible for managing and nurturing customer relationships, ensuring customer satisfaction and retention, and overseeing our customer support team and call center. Additionally, you will have the opportunity to help develop the exciting expansion of our client dashboard, gamification, loyalty, and referral programs aimed at increasing retention, referrals, and renewals.Location: Remote or in Austin (US Market, Eastern/Central Time)What the job involvesCustomer Relationship Management: Develop and maintain strong relationships with key customers, acting as their primary point of contact and trusted advisorIssue Resolution: Address and resolve customer issues and concerns in a timely and effective manner, ensuring a high level of customer satisfactionFeedback Loop: Gather and analyze customer feedback to provide insights to the product and development teams, contributing to the continuous improvement of our offeringsRenewals and Retention: Develop and execute strategies to maximize customer retention and contract renewals, identifying at-risk accounts and implementing proactive measures to retain themCustomer Support Management: Oversee the customer support team and call center, ensuring that all customer inquiries and issues are handled efficiently and effectivelyTeam Leadership: Recruit, train, and manage the customer support team, fostering a positive and productive work environment and promoting professional growth and developmentClient Dashboard: Assist the expansion of our client dashboard post-purchase, providing customers with an easy-to-use interface to manage their warranties and track benefitsGamification and Loyalty Programs: Co-design gamification and loyalty programs to engage customers, increase retention, and encourage repeat businessReferral Programs: Help develop and launch referral programs to incentivize customers to refer new users to Chaiz, driving growth through word-of-mouth marketingRequirementsYou may be a fit for this role if you:Minimum of 5 years of experience in customer success or account management, preferably in a tech startup. Experience managing a customer support team and call center is requiredExceptional communication and interpersonal skills, with the ability to build and maintain strong relationships with customers and internal teamsStrong analytical and problem-solving skills, with the ability to think strategically and execute tacticallyProficiency in using CRM software and other customer success toolsAbility to thrive in a fast-paced, dynamic environment and adapt to changing priorities and business needsInnovative mindset with a track record of developing and implementing successful customer engagement programsIf you don't meet all the requirements but think you might still be suitable for the role, please apply as we're always keen to speak to people who connect with our mission and values.",Not provided
Data Entry,Opinion Focus Panel,"Los Angeles, CA",2 hours ago,"We are looking for a Remote Data Entry Clerk to join our team and help us maintain accurate and up-to-date information in our databases and systems.The ideal candidate will have excellent typing skills, an eye for detail, and the ability to work independently. This role is crucial to ensuring that our data is reliable and easily accessible to our team members and clients.Key ResponsibilitiesAccurately enter data into various databases and systems from source documents within time limitsReview data for deficiencies or errors, correct any incompatibilities, and check the outputVerify data by comparing it to source documentsUpdate existing data and retrieve data from the database as requestedPerform regular backups to ensure data preservationOrganize and maintain files and records for efficient data retrievalCollaborate with team members to address any discrepancies or issues with data entryMaintain confidentiality and security of sensitive informationRequirementsProven experience as a Data Entry Clerk or similar roleExcellent typing speed and accuracyStrong attention to detail and ability to spot errorsProficiency in using data entry software and Microsoft Office Suite (Word, Excel, etc.)Ability to work independently and meet deadlinesStrong organizational and time management skillsExcellent communication skills, both written and verbalHigh school diploma or equivalent; additional qualifications in data management or related fields are a plusPreferred QualificationsExperience with remote work and virtual collaboration toolsFamiliarity with data protection regulations and best practicesCompensationFlexible working hours and remote work environmentOpportunities for professional growth and developmentSupportive and collaborative team cultureAccess to the latest technology and tools to perform your job efficiently",$35.00/hr - $45.00/hr
Entry-Level Data Entry Clerk - Part-time / Full-time (Remote),AllStaff Staffing & Recruiting,"Texas, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Remote Drafter,Actalent,"Syracuse, NY",2 hours ago,"Exciting opportunities within the Aerospace and Defense industry are currently available!Actalent is looking for a full-time Manufacturing Engineer to support our client, a leading DoD organization, onsite in Syracuse, NY.Responsibilities:Able to provide schematic capture part placement routing and documentation support for 4-18 layer designs.Ability to work closely with the engineering team to make changes as the designs evolve and then create documentation for the Printed Wiring Assembly and Printed Wring Board in Blueprint or AutoCAD tools.Utilizes computer-aided design equipment and/or manual tools.Completes layout drawings prepared by others in accordance with standard engineering drafting practices or may develop complete major layouts of engineering drawings.Within parameters determines scaling required inserts necessary reference planes centering and dimension lines hidden line interpolations and sectioning prepares specifications for parts assemblies and installations prepares complete production detail drawings contributes design modifications to improve quality of product or facilitate manufacturing operationsQualifications:6+ Years of design/drafting experienceProven ability to work in a remote capacityExperience with Siemens XpeditionExperience with Zuken CR8000Experience with Altium/CadencePlease submit an up to date resume for consideration or to learn more!About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Entry Level - Research Data Analyst (Remote) Immediate,AllStaff Staffing & Recruiting,"Florida, United States",6 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Data Entry Specialist,"BE A CHAMPION, INC.",United States,8 hours ago,"We are committed to delivering excellence and innovation in every project we undertake. As a growing team of professionals, we’re looking for a motivated and detail-oriented Remote Data Entry Specialist to join us and help streamline our data management processes.Job Description:Are you detail-oriented, organized, and passionate about data accuracy? We are seeking a Remote Data Entry Specialist to manage and update data in our systems efficiently. This role is ideal for someone who thrives in a remote work environment and has a keen eye for detail.Key Responsibilities:Accurately input, update, and maintain data in our databaseReview and verify data for accuracy and completenessGenerate and maintain reports as neededCommunicate effectively with team members and supervisorsHandle confidential information with integrity and discretionQualifications:Proven experience in data entry or a related fieldExcellent typing speed and accuracyStrong attention to detail and organizational skillsProficiency with Microsoft Office Suite (Word, Excel, Outlook)Ability to work independently and manage time effectivelyReliable internet connection and a suitable workspaceWhy Join Us?Flexible remote work opportunitiesCompetitive salary and benefitsSupportive and collaborative team environmentOpportunities for professional growth and developmentHow to Apply:If you are a proactive and detail-focused individual looking for a rewarding remote opportunity, we want to hear from you! Please send your resume toBeachampapplicant at hotmail dot comto apply and get in touch for an interview.We look forward to reviewing your application!Powered by JazzHRYzfZatlWTB",Not provided
Work from home-Customer Support Agent,LUXE,United States,8 hours ago,"We are looking for a dedicated and outgoing individual to join our team as a Virtual Customer Support Agent. In this work-from-home opportunity, you will play a crucial role in planning and booking exceptional sports trips for leisure clients across various global destinations. If you're passionate about providing excellent customer service and have a knack for helping others with their travel plans, this position is perfect for you. As a Virtual Customer Support Agent, you'll guide clients through the research and booking process, ensuring they have memorable and well-organized experiences.Key Responsibilities:Collaborate with clients to understand their travel preferences and requirements, offering expert advice on suitable destinations, transportation options, travel dates, costs, and accommodationsPlan and arrange transportation, accommodations, travel insurance, and additional services as needed to create comprehensive travel itinerariesUtilize effective communication and sales techniques to present clients with appealing travel packages, including event tickets, hotel stays, airline reservations, and car rentalsProvide exceptional customer support throughout the booking process, addressing inquiries, resolving concerns, and ensuring a seamless travel planning experienceMaintain accurate and organized records of client interactions, travel arrangements, and other relevant informationQualifications:Minimum age requirement: 18 years oldAuthorization to work within the United StatesStrong communication skills with a customer-centric approach (a background in sales is a plus)Access to a smartphone with internet connectivity; laptop recommended but not mandatoryWhile previous experience in customer service or hospitality is advantageous, it is not a strict requirementLocation and Work Environment:This is a remote position, allowing you to work from the comfort of your own home. You'll be part of a dynamic team that values collaboration and excellence in customer service. Your role as a Virtual Customer Support Agent will involve interacting with clients via digital communication channels, so a reliable internet connection and a quiet, professional workspace are essential.Application Instructions:If you're excited about helping clients create unforgettable experiences and meet the qualifications outlined above, we encourage you to apply.We look forward to reviewing your application and potentially welcoming you to our team of Virtual Customer Support Agents dedicated to delivering exceptional planning services.Powered by JazzHRzhI4to2336",Not provided
Data Entry Clerk,AllStaff Staffing & Recruiting,"Virginia, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
LPC (Remote),WorkatHome-JobBoard,"Kansas City, KS",6 hours ago,"Remote Licensed Professional Counselor (LPC)Wage: Between $95-$122 an hourAre you a Licensed Professional Counselor looking to launch a private practice, or grow your existing practice? Headway can help you earn more through insurance!Headway supports thousands of mental health clinicians across the United States in our mission to rewire the mental healthcare system for access and affordability. We equip mental health practitioners with the tools and resources they need to run a flourishing private practice.Mental health clinicians use Headway in a number of ways, ranging from conducting psychotherapy sessions with patients to providing and overseeing medication management. Whether you're new to private practice or already have an established practice of your own, we're excited to support you in reaching your goals!By Joining The Headway Community, We'll Help YouAccept insurance hassle-free by credentialing you with the nation's largest networks and handling the billing and admin paperwork for you.Maintain a flexible schedule by deciding how many clients you see through Headway, so that you can set the hours that work for you.Grow your caseload by providing marketing support and patient referrals.We'll also support your patients byProviding customized support to clinicians and patients in order to streamline the process of both seeking and providing care.Verifying client insurance benefits instantly and automatically, so that access to care is never delayed, and you can see your patients with confidence.And we do thiscompletely free of charge to you!Headways is a flexible service, meaning your hours are yours to set, and it's up to you whether you see your patients in-person or remotely via telehealth while working from home.We accept the following licenses on a state by state basis:LPCLPCCLCPCLCPCSLPCC-SReady to get started?We Are Excited To Begin Helping You If You Are a Fully-licensed Professional Counselor At a Master's Level Or Above WithA valid NPI numberMalpractice insurancePlease note, at this time, we are unable to service mental health professionals that are not fully licensed. Your application will be rejected until you obtain a valid license.Not sure if you're qualified to work with us? Send in your application and our team will do our best to help.",Not provided
Clinical Review Nurse  - Remote,Actalent,"Houston, TX",2 hours ago,"Clinical Review Nurse****Remote (Must reside in Texas)****Job DescriptionWe are currently seeking a highly skilled and motivated Remote Clinical Review Nurse/Concurrent Review Nurse (RN) to join our dynamic team. As aRemote Clinical Review Nurse/Concurrent Review Nurse, you will be responsible for conducting concurrent reviews of patient care to ensure medical necessity and adherence to healthcare policies. Your role will involve evaluating clinical documentation and collaborating with healthcare providers and insurance companies to ensure the delivery of appropriate care.Key Responsibilities:Conduct concurrent reviews of patient care to assess the medical necessity of services and treatments.Review clinical documentation to ensure compliance with healthcare policies and insurance guidelines.Communicate with healthcare providers, patients, and insurance companies to gather necessary information and provide clarity on review requirements.Maintain accurate and detailed records of review findings and decisions.Stay updated on changes in healthcare policies, medical guidelines, and regulatory requirements.Collaborate with internal teams to address any issues or concerns related to concurrent reviews.Provide exceptional support and guidance to both patients and healthcare providers.QualificationsActive RN compact license in Texas.2 years of clinical experience with prior authorization and/or utilization review.Strong understanding of medical terminology, healthcare policies, and insurance guidelines.Proficiency in using electronic health record (EHR) systems and other relevant software.Utilization Management experience preferredClinical and Manage Care experience preferredWork SiteThis is a fully remote position but MUST reside in Texas.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Senior Customer Success Manager,Chaiz,"Austin, TX",15 hours ago,"About Chaiz:Hi 👋 we’re on a mission to change how vehicle service contracts (also known as car extended warranties) are being bought and experienced. Today you get hard-sold via sleazy call centers and at dealerships while overpaying and not knowing what you are actually buying. We’re changing this!The RoleAs a Senior Customer Success Manager at Chaiz, you will play a pivotal role in ensuring our customers have a seamless and positive experience. You will be responsible for managing and nurturing customer relationships, ensuring customer satisfaction and retention, and overseeing our customer support team and call center. Additionally, you will have the opportunity to help develop the exciting expansion of our client dashboard, gamification, loyalty, and referral programs aimed at increasing retention, referrals, and renewals.Location: Remote or in Austin (US Market, Eastern/Central Time)What the job involvesCustomer Relationship Management: Develop and maintain strong relationships with key customers, acting as their primary point of contact and trusted advisorIssue Resolution: Address and resolve customer issues and concerns in a timely and effective manner, ensuring a high level of customer satisfactionFeedback Loop: Gather and analyze customer feedback to provide insights to the product and development teams, contributing to the continuous improvement of our offeringsRenewals and Retention: Develop and execute strategies to maximize customer retention and contract renewals, identifying at-risk accounts and implementing proactive measures to retain themCustomer Support Management: Oversee the customer support team and call center, ensuring that all customer inquiries and issues are handled efficiently and effectivelyTeam Leadership: Recruit, train, and manage the customer support team, fostering a positive and productive work environment and promoting professional growth and developmentClient Dashboard: Assist the expansion of our client dashboard post-purchase, providing customers with an easy-to-use interface to manage their warranties and track benefitsGamification and Loyalty Programs: Co-design gamification and loyalty programs to engage customers, increase retention, and encourage repeat businessReferral Programs: Help develop and launch referral programs to incentivize customers to refer new users to Chaiz, driving growth through word-of-mouth marketingRequirementsYou may be a fit for this role if you:Minimum of 5 years of experience in customer success or account management, preferably in a tech startup. Experience managing a customer support team and call center is requiredExceptional communication and interpersonal skills, with the ability to build and maintain strong relationships with customers and internal teamsStrong analytical and problem-solving skills, with the ability to think strategically and execute tacticallyProficiency in using CRM software and other customer success toolsAbility to thrive in a fast-paced, dynamic environment and adapt to changing priorities and business needsInnovative mindset with a track record of developing and implementing successful customer engagement programsIf you don't meet all the requirements but think you might still be suitable for the role, please apply as we're always keen to speak to people who connect with our mission and values.",Not provided
Executive Assistant,AllStaff Staffing & Recruiting,"Florida, United States",8 hours ago,"Apply here Directly: https://bit.ly/3vbQR00Candidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/3vbQR00QualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/3vbQR00RequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply Here Directlyhttps://bit.ly/3vbQR00BenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/3vbQR00null",$30.00/hr - $40.00/hr
Data Entry Clerk - Work From Home,A Hiring Company,"Jacksonville, FL",2 hours ago,"We are seeking a detail-oriented and motivated Data Entry Clerk to join our team and work from home. The ideal candidate will be responsible for accurately and efficiently inputting data into our systems, ensuring data integrity and organization. This is a remote position that offers flexibility and the opportunity to work from the comfort of your own home.Responsibilities:Input data accurately and efficiently into company databasesEnsure data integrity and organizationReview and verify data for errors or discrepanciesMaintain confidentiality of sensitive informationAdhere to company policies and proceduresQualifications:High school diploma or equivalentProven experience as a data entry clerk or similar roleProficient in Microsoft Office SuiteStrong attention to detail and accuracyExcellent time management skillsAbility to work independently and meet deadlinesIf you are a self-motivated individual with strong data entry skills and the ability to work from home, we encourage you to apply for this exciting opportunity.",Not provided
